Report,Date,Type,Key Theme
Relatorio_de_16_de_Fevereiro,"Feb 16, 2026",CFM Weekly,"CFM = 10%, fragility elevated"
Relatorio_de_09_de_Fevereiro,"Feb 9, 2026",CFM Weekly,"CFM = 10%, consistent signal"
Relatorio_de_02_de_Fevereiro,"Feb 2, 2026",CFM Weekly,CFM = 10%
Relatorio_de_26_de_Janeiro,"Jan 26, 2026",CFM Weekly,—
Relatorio_de_19_de_Janeiro,"Jan 19, 2026",CFM Weekly,—
VISA_21_de_Janeiro,"Jan 21, 2026",VISA Ações,Equities = 30%
VISA_17_de_Dezembro,"Dec 17, 2025",VISA Ações,—
VISA_14_de_Janeiro,"Jan 14, 2026",VISA Ações,—
VISA_10_de_Dezembro,"Dec 10, 2025",VISA Ações,—
IRA-Regime-Inflexao,Jan 2026,Special Report,Iran crisis — geopolitical inflection
Computacao-Quantica-Bitcoin,—,Special Report,Quantum computing vs BTC security
Bitcoin_16_Fevereiro,"Feb 16, 2026",Special Report,Bitcoin regime analysis
Imoveis_Nov_2025,"Nov 3, 2025",Special Report,Real estate market
MacroStrategy-Report-1,—,Macro,US debt monetization risk
Emergentes_2026,—,Outlook,Emerging markets outlook 2026
